Age,Nationality,Potential,Club,Value,Special,Preferred Foot,International Reputation,Weak Foot,Skill Moves,Work Rate,Body Type,Position,Height,Weight,LS,ST,RS,LW,LF,CF,RF,RW,LAM,CAM,RAM,LM,LCM,CM,RCM,RM,LWB,LDM,CDM,RDM,RWB,LB,LCB,CB,RCB,RB,Crossing,Finishing,HeadingAccuracy,ShortPassing,Volleys,Dribbling,Curve,FKAccuracy,LongPassing,BallControl,Acceleration,SprintSpeed,Agility,Reactions,Balance,ShotPower,Jumping,Stamina,Strength,LongShots,Aggression,Interceptions,Positioning,Vision,Penalties,Composure,Marking,StandingTackle,SlidingTackle,GKDiving,GKHandling,GKKicking,GKPositioning,GKReflexes
2,40,2,201,1,3,1,1.0,2.0,3.0,2,2,16,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,4,4,2,4,3,3,4,4,4,5,4,4,4,3,4,4,4,3,4,4,3,3,3,4,4,4,4,1,1,1,1,1
3,137,2,475,1,2,1,1.0,3.0,2.0,6,5,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,3,4,4,4,4,4,4,4,4,4,4,2,2,3,4,2,3,2,2,4,4,4,3,4,4,4,3,4,4,5,2,5,4,2,4,2,4,4,4,4,1,1,1,1,1
4,55,1,333,1,3,1,1.0,4.0,3.0,2,5,12,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,4,4,3,4,4,4,4,4,3,4,4,5,4,4,4,4,5,4,4,4,4,2,4,4,4,4,2,2,2,1,1,1,1,1
2,47,2,457,1,2,0,1.0,3.0,3.0,0,5,0,2,3,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,4,3,3,3,3,3,3,2,2,2,3,4,4,3,4,3,4,4,3,3,4,5,4,5,3,5,4,4,4,3,4,4,2,4,4,3,3,2,1,2,1,1,1,1,1
2,102,1,627,1,2,1,1.0,5.0,3.0,8,5,12,4,3,3,3,3,4,4,4,4,4,4,4,4,4,3,3,3,4,3,3,3,3,3,3,2,2,2,3,4,3,2,4,3,4,3,3,3,4,4,4,4,4,4,4,4,4,3,3,3,2,4,3,3,4,2,2,2,1,1,1,1,1
3,20,1,88,1,2,1,1.0,3.0,2.0,8,8,7,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,3,4,4,4,4,4,2,2,4,4,3,2,2,2,4,4,2,3,2,4,3,4,3,3,5,3,4,4,2,2,3,5,4,4,4,1,1,1,1,1
3,55,2,201,1,3,1,2.0,1.0,2.0,2,5,25,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,4,4,5,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,3,2,4,4,4,4,3,2,1,1,1,1,1,1
4,59,1,497,1,4,1,1.0,4.0,3.0,6,8,10,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,4,3,3,1,1,1,1,1
3,6,1,405,1,3,1,1.0,3.0,3.0,7,2,0,3,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,3,3,4,3,2,4,4,4,3,2,2,2,1,1,1,1,1
3,77,1,94,1,1,1,1.0,2.0,2.0,5,2,17,5,4,3,3,3,2,3,3,3,2,3,3,3,3,3,3,3,3,3,4,4,4,3,3,4,4,4,3,1,2,4,3,1,3,2,2,3,3,3,3,3,4,2,3,4,4,5,2,4,4,1,2,2,4,4,4,4,1,1,1,1,1
